Block Type,96alum,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\7500\experiments\LK\LK20220402.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2022-04-02 17:54:54 PM CST,,,,,,,,,,,,,,,,,,,,
Instrument Type,sds7500,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,C§ä,C§ä Mean,C§ä SD,¦¤C§ä,¦¤C§ä Mean,¦¤C§ä SE,HK Control ¦¤C§ä Mean,HK Control ¦¤C§ä SE,¦¤¦¤C§ä,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments
A2,Sample 1,GA,16.09357262,16.06877899,0.031499647,,,,,,,TRUE,0.271252941,TRUE,3,10,1,87.31518555,,,
A3,Sample 1,GA,16.03333473,16.06877899,0.031499647,,,,,,,TRUE,0.271252941,TRUE,3,10,1,87.31518555,,,
A4,Sample 1,GA,16.07942963,16.06877899,0.031499647,,,,,,,TRUE,0.271252941,TRUE,3,10,1,87.31518555,,,
A5,Sample 2,GA,17.8062439,17.8301487,0.020869482,,,,,,,TRUE,0.271252941,TRUE,3,12,1,87.4910965,,,
A6,Sample 2,GA,17.83945847,17.8301487,0.020869482,,,,,,,TRUE,0.271252941,TRUE,3,12,1,87.4910965,,,
A7,Sample 2,GA,17.84474182,17.8301487,0.020869482,,,,,,,TRUE,0.271252941,TRUE,3,13,1,87.4910965,,,
B2,Sample 1,CASP-1,22.71235466,22.64131355,0.062143702,,6.572535992,0.040224649,,,0,TRUE,0.264740165,TRUE,3,17,1,79.04711914,,,
B3,Sample 1,CASP-1,22.61456108,22.64131355,0.062143702,,6.572535992,0.040224649,,,0,TRUE,0.264740165,TRUE,3,17,1,79.04711914,,,
B4,Sample 1,CASP-1,22.59702873,22.64131355,0.062143702,,6.572535992,0.040224649,,,0,TRUE,0.264740165,TRUE,3,17,1,79.04711914,,,
B5,Sample 2,CASP-1,24.42024803,24.37702751,0.049842212,,6.546878338,0.031197123,,,-0.025657654,TRUE,0.264740165,TRUE,3,19,1,79.22303772,,,
B6,Sample 2,CASP-1,24.32250404,24.37702751,0.049842212,,6.546878338,0.031197123,,,-0.025657654,TRUE,0.264740165,TRUE,3,19,1,79.22303772,,,
B7,Sample 2,CASP-1,24.38832664,24.37702751,0.049842212,,6.546878338,0.031197123,,,-0.025657654,TRUE,0.264740165,TRUE,3,19,1,79.22303772,,,
C2,Sample 1,IL-1B,20.962883,20.94256783,0.044058077,,4.873788834,0.031269483,,,0,TRUE,0.311242473,TRUE,3,15,1,81.68586731,,,
C3,Sample 1,IL-1B,20.97280312,20.94256783,0.044058077,,4.873788834,0.031269483,,,0,TRUE,0.311242473,TRUE,3,15,1,81.68586731,,,
C4,Sample 1,IL-1B,20.89201736,20.94256783,0.044058077,,4.873788834,0.031269483,,,0,TRUE,0.311242473,TRUE,3,15,1,81.68586731,,,
C5,Sample 2,IL-1B,22.64208031,22.75115776,0.179630339,,4.921009541,0.104407206,,,0.047220867,TRUE,0.311242473,TRUE,3,17,1,81.68586731,,,
C6,Sample 2,IL-1B,22.95848274,22.75115776,0.179630339,,4.921009541,0.104407206,,,0.047220867,TRUE,0.311242473,TRUE,3,17,1,81.68586731,,,
C7,Sample 2,IL-1B,22.65291023,22.75115776,0.179630339,,4.921009541,0.104407206,,,0.047220867,TRUE,0.311242473,TRUE,3,17,1,81.86177826,,,
D2,Sample 1,IL-18,23.87807655,23.90049171,0.024263548,,7.831714153,0.022956099,,,0,TRUE,0.21680903,TRUE,3,19,1,77.28795624,,,
D3,Sample 1,IL-18,23.89714622,23.90049171,0.024263548,,7.831714153,0.022956099,,,0,TRUE,0.21680903,TRUE,3,19,1,77.28795624,,,
D4,Sample 1,IL-18,23.92625618,23.90049171,0.024263548,,7.831714153,0.022956099,,,0,TRUE,0.21680903,TRUE,3,19,1,77.46387482,,,
D5,Sample 2,IL-18,25.79419899,25.87492561,0.071441561,,8.04477787,0.042970654,,,0.213064194,TRUE,0.21680903,TRUE,3,21,1,77.46387482,,,
D6,Sample 2,IL-18,25.90058517,25.87492561,0.071441561,,8.04477787,0.042970654,,,0.213064194,TRUE,0.21680903,TRUE,3,21,1,77.46387482,,,
D7,Sample 2,IL-18,25.92999458,25.87492561,0.071441561,,8.04477787,0.042970654,,,0.213064194,TRUE,0.21680903,TRUE,3,21,1,77.46387482,,,
E2,Sample 3,GA,17.354496,17.24225044,0.120631717,,,,,,,TRUE,0.271252941,TRUE,3,12,1,87.66701508,,,
E3,Sample 3,GA,17.1146946,17.24225044,0.120631717,,,,,,,TRUE,0.271252941,TRUE,3,11,1,87.66701508,,,
